"title","company","salary_label","location_label","description","search_term","source","creationdate","worktypecode","title_clean","description_clean","description_words","description_tsv","keywords"
Network Systems Engineer,Northrop Grumman,"",Australia," AUSTRALIAN CITIZENSHIP REQUIRED FOR THIS POSITION: Yes 
 RELOCATION ASSISTANCE: Relocation assistance may be available 
 CLEARANCE TYPE: AU-TSPV (Positive Vetting)
 TRAVEL: Yes, 25% of the Time 
 Description 
 We are Northrop Grumman Australia. Our 800 strong team...",data analyst,swooped.co,2025-08-14 00:00:00.000 +0700,not_specified,Network Systems Engineer,"AUSTRALIAN CITIZENSHIP REQUIRED FOR THIS POSITION: Yes RELOCATION ASSISTANCE: Relocation assistance may be available CLEARANCE TYPE: AU-TSPV (Positive Vetting) TRAVEL: Yes, 25% of the Time Description We are Northrop Grumman Australia. Our 800 strong team...",australian citizenship required for this position yes relocation assistance relocation assistance may be available clearance type au tspv positive vetting travel yes of the time description we are northrop grumman australia our strong team,"'25':24 '800':35 'assist':9,11 'au':18 'au-tspv':17 'australia':33 'australian':1 'avail':14 'citizenship':2 'clearanc':15 'descript':28 'grumman':32 'may':12 'northrop':31 'posit':6,20 'reloc':8,10 'requir':3 'strong':36 'team':37 'time':27 'travel':22 'tspv':19 'type':16 'vet':21 'yes':7,23","{25,800,assist,au,au-tspv,australia,australian,avail,citizenship,clearanc,descript,grumman,may,northrop,posit,reloc,requir,strong,team,time,travel,tspv,type,vet,yes}"
Senior Service Reliability Engineer,Zé Delivery,"",Australia,"&nbsp;...Python (preferred) 
 Bash, Go, Java, C++, or Rust 
 In addition, experience with at least 3 of the following topics: 
 Distributed <b>data </b>storage at scale (Hadoop, Ceph) 
 NoSQL at scale (MongoDB, Redis, Cassandra) 
 Data Aggregation technologies. (ElasticSearch,...&nbsp;",data analyst,swooped.co,2025-08-21 00:00:00.000 +0700,not_specified,Senior Service Reliability Engineer,"...Python (preferred)  Bash, Go, Java, C++, or Rust  In addition, experience with at least 3 of the following topics:  Distributed data storage at scale (Hadoop, Ceph)  NoSQL at scale (MongoDB, Redis, Cassandra)  Data Aggregation technologies. (ElasticSearch,...",python preferred bash go java c or rust in addition experience with at least of the following topics distributed data storage at scale hadoop ceph nosql at scale mongodb redis cassandra data aggregation technologies elasticsearch,"'3':16 'addit':11 'aggreg':38 'bash':4 'c':7 'cassandra':35 'ceph':28 'data':23,37 'distribut':22 'elasticsearch':40 'experi':12 'follow':19 'go':5 'hadoop':27 'java':6 'least':15 'mongodb':33 'nosql':30 'prefer':2 'python':1 'redi':34 'rust ':9 'scale':26,32 'storag':24 'technolog':39 'topic':20 ' ':3,21,29,36","{3,addit,aggreg,bash,c,cassandra,ceph,data,distribut,elasticsearch,experi,follow,go,hadoop,java,least,mongodb,nosql,prefer,python,redi,rust ,scale,storag,technolog,topic, }"
Senior Site Reliability Engineer,Mastercard,"",Australia,"&nbsp;...inclusive, digital economy that benefits everyone, everywhere, by making transactions safe, simple, smart, and accessible. Using secure <b>data </b>and networks, partnerships, and passion, our innovations and solutions help individuals, financial institutions, governments, and...&nbsp;",data analyst,decentrajobs.com,2026-06-26 03:04:41.713 +0700,full_time,Senior Site Reliability Engineer,"...inclusive, digital economy that benefits everyone, everywhere, by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships, and passion, our innovations and solutions help individuals, financial institutions, governments, and...",inclusive digital economy that benefits everyone everywhere by making transactions safe simple smart and accessible using secure data and networks partnerships and passion our innovations and solutions help individuals financial institutions governments and,'access':15 'benefit':5 'data':18 'digit':2 'economi':3 'everyon':6 'everywher':7 'financi':30 'govern':32 'help':28 'inclus':1 'individu':29 'innov':25 'institut':31 'make':9 'network':20 'partnership':21 'passion':23 'safe':11 'secur':17 'simpl':12 'smart':13 'solut':27 'transact':10 'use':16,"{access,benefit,data,digit,economi,everyon,everywher,financi,govern,help,inclus,individu,innov,institut,make,network,partnership,passion,safe,secur,simpl,smart,solut,transact,use}"
Site Reliability Engineer II,Mastercard,"",Australia,"&nbsp;...inclusive, digital economy that benefits everyone, everywhere, by making transactions safe, simple, smart, and accessible. Using secure <b>data </b>and networks, partnerships, and passion, our innovations and solutions help individuals, financial institutions, governments, and...&nbsp;",data analyst,decentrajobs.com,2026-06-26 03:04:41.757 +0700,full_time,Site Reliability Engineer II,"...inclusive, digital economy that benefits everyone, everywhere, by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships, and passion, our innovations and solutions help individuals, financial institutions, governments, and...",inclusive digital economy that benefits everyone everywhere by making transactions safe simple smart and accessible using secure data and networks partnerships and passion our innovations and solutions help individuals financial institutions governments and,'access':15 'benefit':5 'data':18 'digit':2 'economi':3 'everyon':6 'everywher':7 'financi':30 'govern':32 'help':28 'inclus':1 'individu':29 'innov':25 'institut':31 'make':9 'network':20 'partnership':21 'passion':23 'safe':11 'secur':17 'simpl':12 'smart':13 'solut':27 'transact':10 'use':16,"{access,benefit,data,digit,economi,everyon,everywher,financi,govern,help,inclus,individu,innov,institut,make,network,partnership,passion,safe,secur,simpl,smart,solut,transact,use}"
"Business Development Manager - CDE Program (Consultants, Designer and Engineer)",Genetec,"",Australia," Your team’s dynamic: 
 Genetec is seeking a senior professional to lead and grow our Consulting, Design, and Engineering (CDE) Program across Australia and New Zealand. This is a high-impact role focused on strengthening relationships with security consultants and design...",data analyst,swooped.co,2025-08-13 00:00:00.000 +0700,not_specified,Business Development Manager - CDE Program (Consultants,"Your team’s dynamic: Genetec is seeking a senior professional to lead and grow our Consulting, Design, and Engineering (CDE) Program across Australia and New Zealand. This is a high-impact role focused on strengthening relationships with security consultants and design...",your team s dynamic genetec is seeking a senior professional to lead and grow our consulting design and engineering cde program across australia and new zealand this is a high impact role focused on strengthening relationships with security consultants and design,"'across':21 'australia':22 'cde':19 'consult':15,39 'design':16,41 'dynam':3 'engin':18 'focus':33 'genetec':4 'grow':13 'high':30 'high-impact':29 'impact':31 'lead':11 'new':24 'profession':9 'program':20 'relationship':36 'role':32 'secur':38 'seek':6 'senior':8 'strengthen':35 'team’':2 'zealand':25","{across,australia,cde,consult,design,dynam,engin,focus,genetec,grow,high,high-impact,impact,lead,new,profession,program,relationship,role,secur,seek,senior,strengthen,team’,zealand}"
"Sr. Staff Engineer, Robotics/Automotive System Software",Tenstorrent,$100k,Australia," Tenstorrent is leading the industry on cutting-edge AI technology, revolutionizing performance expectations, ease of use, and cost efficiency. With AI redefining the computing paradigm, solutions must evolve to unify innovations in software models, compilers, platforms...",data analyst,swooped.co,2025-08-27 00:00:00.000 +0700,not_specified,Sr. Staff Engineer,"Tenstorrent is leading the industry on cutting-edge AI technology, revolutionizing performance expectations, ease of use, and cost efficiency. With AI redefining the computing paradigm, solutions must evolve to unify innovations in software models, compilers, platforms...",tenstorrent is leading the industry on cutting edge ai technology revolutionizing performance expectations ease of use and cost efficiency with ai redefining the computing paradigm solutions must evolve to unify innovations in software models compilers platforms,"'ai':10,22 'compil':36 'comput':25 'cost':19 'cut':8 'cutting-edg':7 'eas':15 'edg':9 'effici':20 'evolv':29 'expect':14 'industri':5 'innov':32 'lead':3 'model':35 'must':28 'paradigm':26 'perform':13 'platform':37 'redefin':23 'revolution':12 'softwar':34 'solut':27 'technolog':11 'tenstorr':1 'unifi':31 'use':17","{ai,compil,comput,cost,cut,cutting-edg,eas,edg,effici,evolv,expect,industri,innov,lead,model,must,paradigm,perform,platform,redefin,revolution,softwar,solut,technolog,tenstorr,unifi,use}"
ESG Junior Data Analyst (Mandarin Speaker),ISS | Institutional Shareholder Services,"",Australia,"&nbsp;...acquire specific knowledge about the dominant issues for several industries. 
 Attend to internal/client queries and requests to ensure <b>data </b>captured is aligned with data methodology and policy guidelines 
 Comply with established work process standards to ensure quality...&nbsp;",junior data analyst,swooped.co,2026-02-27 00:00:00.000 +0700,not_specified,ESG Junior Data Analyst (Mandarin Speaker),...acquire specific knowledge about the dominant issues for several industries. Attend to internal/client queries and requests to ensure data captured is aligned with data methodology and policy guidelines Comply with established work process standards to ensure quality...,acquire specific knowledge about the dominant issues for several industries attend to internal client queries and requests to ensure data captured is aligned with data methodology and policy guidelines comply with established work process standards to ensure quality,"'acquir':1 'align':22 'attend':11 'captur':20 'compli':29 'data':19,24 'domin':6 'ensur':18,36 'establish':31 'guidelin':28 'industri':10 'internal/client':13 'issu':7 'knowledg':3 'methodolog':25 'polici':27 'process':33 'qualiti':37 'queri':14 'request':16 'sever':9 'specif':2 'standard':34 'work':32","{acquir,align,attend,captur,compli,data,domin,ensur,establish,guidelin,industri,internal/client,issu,knowledg,methodolog,polici,process,qualiti,queri,request,sever,specif,standard,work}"
Developer Engagement Representative,Roblox,"",Australia," About Roblox:  Every day, tens of millions of people come to Roblox to explore, create, play, learn, and connect with friends in 3D immersive digital experiences—all created by our global community of independent developers and creators. At Roblox, we are building the ...",bi analyst,hireskys.com,2026-07-07 07:54:26.193 +0700,part_time,Developer Engagement Representative,"About Roblox: Every day, tens of millions of people come to Roblox to explore, create, play, learn, and connect with friends in 3D immersive digital experiences—all created by our global community of independent developers and creators. At Roblox, we are building the ...",about roblox every day tens of millions of people come to roblox to explore create play learn and connect with friends in d immersive digital experiences all created by our global community of independent developers and creators at roblox we are building the,"'3d':23 'build':41 'come':10 'communiti':31 'connect':19 'creat':15,27 'creator':36 'day':4 'develop':34 'digit':25 'everi':3 'experiences—al':26 'explor':14 'friend':21 'global':30 'immers':24 'independ':33 'learn':17 'million':7 'peopl':9 'play':16 'roblox':2,12,38 'ten':5","{3d,build,come,communiti,connect,creat,creator,day,develop,digit,everi,experiences—al,explor,friend,global,immers,independ,learn,million,peopl,play,roblox,ten}"
"Product and Sales Analyst, Specialist - Core Consumer",Mastercard,"",Australia,"&nbsp;...and services that help people, businesses and governments realize their greatest potential.  Title and Summary  Product and Sales <b>Analyst,</b> Specialist – Core Consumer 
 Overview 
 Specialist, Product and Sales Analyst – Core Consumer supports the execution, adoption,...&nbsp;",junior data analyst,decentrajobs.com,2026-05-29 02:16:31.753 +0700,full_time,Product and Sales Analyst,"...and services that help people, businesses and governments realize their greatest potential. Title and Summary Product and Sales Analyst, Specialist – Core Consumer Overview Specialist, Product and Sales Analyst – Core Consumer supports the execution, adoption,...",and services that help people businesses and governments realize their greatest potential title and summary product and sales analyst specialist core consumer overview specialist product and sales analyst core consumer supports the execution adoption,"'adopt':36 'analyst':19,29 'busi':6 'consum':23,32 'core':22,31 'execut':35 'govern':8 'greatest':11 'help':4 'overview':24 'peopl':5 'potenti':12 'product':16,26 'realiz':9 'sale':18,28 'servic':2 'specialist':20,25 'summari':15 'support':33 'titl':13 '–':21,30","{adopt,analyst,busi,consum,core,execut,govern,greatest,help,overview,peopl,potenti,product,realiz,sale,servic,specialist,summari,support,titl,–}"
Enterprise Operations Analyst II,Mastercard,"",Australia,"&nbsp;...services that help people, businesses and governments realize their greatest potential.  Title and Summary  Enterprise Operations <b>Analyst </b>II 
 Job Overview: Provide technical support for MasterCard’s operations environment. Analyze information to determine MasterCard...&nbsp;",junior data analyst,decentrajobs.com,2026-07-08 03:06:03.317 +0700,full_time,Enterprise Operations Analyst II,"...services that help people, businesses and governments realize their greatest potential. Title and Summary Enterprise Operations Analyst II Job Overview: Provide technical support for MasterCard’s operations environment. Analyze information to determine MasterCard...",services that help people businesses and governments realize their greatest potential title and summary enterprise operations analyst ii job overview provide technical support for mastercard s operations environment analyze information to determine mastercard,"'analyst':17 'analyz':28 'busi':5 'determin':31 'enterpris':15 'environ':27 'govern':7 'greatest':10 'help':3 'ii':18 'inform':29 'job':19 'mastercard':32 'mastercard’':25 'oper':16,26 'overview':20 'peopl':4 'potenti':11 'provid':21 'realiz':8 'servic':1 'summari':14 'support':23 'technic':22 'titl':12","{analyst,analyz,busi,determin,enterpris,environ,govern,greatest,help,ii,inform,job,mastercard,mastercard’,oper,overview,peopl,potenti,provid,realiz,servic,summari,support,technic,titl}"
Regional Technical Specialist,BYD,"",Australia," About BYD  BYD is a high-tech company devoted to technological innovations for a better life. BYD is dedicated to providing zero-emission energy solutions. 
 As a leading battery-electric zero-emission vehicle (ZEV) manufacturer, BYD has created a broad range of battery...",junior data analyst,ev.careers,2026-06-30 19:38:38.017 +0700,full_time,Regional Technical Specialist,"About BYD BYD is a high-tech company devoted to technological innovations for a better life. BYD is dedicated to providing zero-emission energy solutions. As a leading battery-electric zero-emission vehicle (ZEV) manufacturer, BYD has created a broad range of battery...",about byd byd is a high tech company devoted to technological innovations for a better life byd is dedicated to providing zero emission energy solutions as a leading battery electric zero emission vehicle zev manufacturer byd has created a broad range of battery,"'batteri':32,47 'battery-electr':31 'better':16 'broad':44 'byd':2,3,18,40 'compani':9 'creat':42 'dedic':20 'devot':10 'electr':33 'emiss':25,36 'energi':26 'high':7 'high-tech':6 'innov':13 'lead':30 'life':17 'manufactur':39 'provid':22 'rang':45 'solut':27 'tech':8 'technolog':12 'vehicl':37 'zero':24,35 'zero-emiss':23,34 'zev':38","{batteri,battery-electr,better,broad,byd,compani,creat,dedic,devot,electr,emiss,energi,high,high-tech,innov,lead,life,manufactur,provid,rang,solut,tech,technolog,vehicl,zero,zero-emiss,zev}"
